t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg]
5.755476951599121094e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,4.941934859987649753e-02,2.831520101058677241e+00
6.005253791809082031e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,2.911265461178851044e-02,1.668032239677553763e+00
6.255557537078857422e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,2.175614290154517100e-02,1.246535166742043232e+00
6.504259109497070312e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,1.587093353335049944e-02,9.093375083936348080e-01
6.755852699279785156e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,1.116276603879475839e-02,6.395793817149078020e-01
7.007226943969726562e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,4.383004846634492788e-03,2.511276792975410954e-01
7.260136604309082031e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,1.972423089421953407e-03,1.130115184380329069e-01
7.507660388946533203e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,1.972423089421953407e-03,1.130115184380329069e-01
7.756404876708984375e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,4.395768365192159917e-05,2.518589750426323409e-03
8.000860214233398438e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,-2.733032500656924595e-03,-1.565912275597271808e-01
8.250703811645507812e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,-3.720406788411180846e-03,-2.131636070477817280e-01
8.504850864410400391e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,-4.510306218614586020e-03,-2.584215106382253824e-01
8.752093315124511719e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,-5.142225762777310333e-03,-2.946278335105803614e-01
8.999359607696533203e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,-6.052189906371633482e-03,-3.467649384467714757e-01
9.253120422363281250e-01,3.333333432674407959e-01,-1.060606092214584351e-01,1.136363670229911804e-01,2.196969762444496155e-01,1.136363636363636465e-01,2.196969696969696961e-01,-6.375732712982948129e-03,-3.653025757574172028e-01
9.503145217895507812e-01,4.166666567325592041e-01,-1.893939375877380371e-01,1.136363595724105835e-01,3.030302971601486206e-01,1.136363636363636465e-01,3.030303030303030387e-01,-6.634566958271999673e-03,-3.801326856059337178e-01
9.754271507263183594e-01,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-6.634566958271999673e-03,-3.801326856059337178e-01
1.000176429748535156e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-7.007288271488234209e-03,-4.014880437877976216e-01
1.025142669677734375e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-7.139811405076228884e-03,-4.090810600302380862e-01
1.050508260726928711e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-9.393403014986522262e-03,-5.382023480241905355e-01
1.075441598892211914e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-1.978656871507434786e-02,-1.133686878419352340e+00
1.100362539291381836e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-8.334923868341792552e-02,-4.775559602188385711e+00
1.125160217285156250e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-1.280386224621599955e-01,-7.336072681750708924e+00
1.150487422943115234e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-1.668580910609249179e-01,-9.560264395400565718e+00
1.175170421600341797e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-1.979136659399368670e-01,-1.133961776632045293e+01
1.200349807739257812e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-2.230649220007235867e-01,-1.278067858805636448e+01
1.225260496139526367e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-2.450267037948156978e-01,-1.403899599544509158e+01
1.250178813934326172e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-2.632097215452436911e-01,-1.508080617135607682e+01
1.275302410125732422e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-2.777561357455860525e-01,-1.591425431208486252e+01
1.300449609756469727e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-2.987029721940790417e-01,-1.711441963473431116e+01
1.325703382492065430e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.061507362646543329e-01,-1.754114508278745177e+01
1.350160837173461914e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.121089475211145658e-01,-1.788252544122996213e+01
1.375267267227172852e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.171823126838598794e-01,-1.817320785298397112e+01
1.400302648544311523e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.212410048140560970e-01,-1.840575378238717619e+01
1.425582170486450195e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.244879585182131043e-01,-1.859179052590974024e+01
1.450197219848632812e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.270855214815386880e-01,-1.874061992072779148e+01
1.475070953369140625e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.291635718521991882e-01,-1.885968343658223390e+01
1.500316143035888672e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.321559643859502975e-01,-1.903113489941263126e+01
1.525128364562988281e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.332199261757284314e-01,-1.909209541953010358e+01
1.550366640090942383e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.340710956075509386e-01,-1.914086383562408145e+01
1.575303316116333008e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.347520311530089443e-01,-1.917987856849926587e+01
1.600419998168945312e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.357325783384685347e-01,-1.923605978383953286e+01
1.625176668167114258e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.357325783384685347e-01,-1.923605978383953286e+01
1.650036573410034180e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.363880134953202150e-01,-1.927361345207162913e+01
1.675087213516235352e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.369123616208015148e-01,-1.930365638665730188e+01
1.700388908386230469e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.376674229214946532e-01,-1.934691821246067889e+01
1.724922895431518555e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.379358891617411098e-01,-1.936230019496854382e+01
1.750281810760498047e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.381506621539382973e-01,-1.937460578097483932e+01
1.774939775466918945e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.383224805476959807e-01,-1.938445024977987075e+01
1.800220012664794922e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.385698990347070225e-01,-1.939862628485911600e+01
1.824989318847656250e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.386578700523109609e-01,-1.940366665288729564e+01
1.850032091140747070e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.386578700523109609e-01,-1.940366665288729564e+01
1.875253915786743164e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.387282468663941337e-01,-1.940769894730983580e+01
1.900063991546630859e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.393818225623127516e-01,-1.944514607627829861e+01
1.925212383270263672e+00,4.545454680919647217e-01,-2.272727340459823608e-01,1.136363670229911804e-01,3.409091010689735413e-01,1.136363636363636465e-01,3.409090909090909394e-01,-3.393074088743955885e-01,-1.944088248602264102e+01
1.950327157974243164e+00,4.772727191448211670e-01,-3.712121248245239258e-01,5.303029716014862061e-02,4.242424219846725464e-01,5.303030303030303871e-02,4.242424242424243097e-01,-3.395546740816389741e-01,-1.945504973881811495e+01
1.975363254547119141e+00,5.606060624122619629e-01,-4.545454680919647217e-01,5.303029716014862061e-02,5.075757652521133423e-01,5.303030303030303871e-02,5.075757575757576801e-01,-3.397524862474337048e-01,-1.946638354105449409e+01
2.000226020812988281e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-3.408963650073940088e-01,-1.953192296627488034e+01
2.025797605514526367e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-3.414394313031919315e-01,-1.956303837301990356e+01
2.050683021545410156e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-3.431010689701388117e-01,-1.965824319841592427e+01
