theta_true[deg],theta_hat[deg]
-13.35214058366598,-12.866988777774086
-13.452955650710111,-13.29233289323734
-13.603241968993093,-13.661027107808003
-13.72914106676426,-13.98317403111654
-13.837073697973478,-14.266921998854777
-13.870173585502751,-14.518893874195363
-13.920797898473293,-14.744488174212655
-13.957788634100611,-14.948108743169122
-13.98271690967316,-15.133347977553548
-13.996781471230804,-15.303136014180872
-14.015667860491895,-15.459863083172003
-14.03135396497707,-15.605479944156777
-14.045179637424182,-15.74158018880329
-14.094343903910804,-15.874567618790515
-14.1121255505247,-16.05276917237807
-14.176892705606804,-16.300722850000135
-14.294344182513456,-16.59965403925866
-14.60119449837867,-16.884684832843927
-14.71450482142324,-17.0365423957909
-14.556451430667083,-16.90250723292078
-14.067627787187217,-16.348545998677707
-13.360231758989066,-15.296126405967279
-12.122844947334297,-13.7207411144019
-10.231400858572938,-11.6404823409935
-7.985657024585192,-9.107980062067995
-5.538649316719087,-6.20540189015137
-2.742187056449871,-3.041934632491339
0.2896943426270022,0.2629266846944069
3.428429715698763,3.5768801436830753
6.468227038178933,6.763214630606235
9.45722303416068,9.697444871179854
12.175149365619845,12.321262694228228
14.605464618988625,14.616422044680306
16.594933970716333,16.59215181844752
18.526338803099883,18.26752262407357
20.217998217788946,19.67982300702079
21.66292700666984,20.887695067004238
22.843910084285273,21.921894445543426
24.08460164446616,22.807941948739142
25.220835827902384,23.567912575040765
25.998959710879,24.220740222341767
26.579578902586473,24.782469369537754
27.171617930597215,25.266551731637566
27.64596816636815,25.67980661731012
28.009990549697008,26.03638634293226
28.272117095384598,26.34557197886012
28.575158542839063,26.614828152427677
28.84029570901235,26.850378658173454
29.070569825573784,27.057438411097124
29.190732782452116,27.24037858567523
29.320253965514972,27.402862762284954
29.41929751842301,27.547961483082204
29.49105175737697,27.67824867165315
29.53816648171337,27.795882642518578
29.596152197010188,27.90267405688998
29.652179880342036,27.97350505119745
29.72519135733494,28.05860867719957
29.970165024529607,28.191787721619818
30.04529866913397,28.374867811952356
30.13436984704555,28.581109194898886
30.16980784405006,28.738959495736946
30.28279643598357,28.72073817503835
30.023323573757402,28.4313708219101
29.324412172616224,27.798291320504227
28.152413356359745,26.769352713650136
26.631432629375276,25.316030545891497
24.543238070861317,23.438326557500663
21.878658022533507,21.174359098039947
18.908525696267926,18.579296789866937
15.793235948921684,15.747590903489431
12.557245129532484,12.800856697037517
9.363131948061666,9.880114732754915
6.376560690498653,7.158053811212299
3.755036108940863,4.7366607190053935
1.318143528494223,2.6542537274458176
-0.5504435923340991,0.8908803213078422
-1.96606953138578,-0.6004543055577197
-2.9048957082876643,-1.8765159285660535
-3.7918029943872003,-2.9724190779339845
-4.4503102869187074,-3.914445856158032
-4.906405132920495,-4.724491703714733
-5.186319351658329,-5.4213235454528235
-5.55726677121943,-6.021020252258057
-5.887207508508979,-6.537209828232649
-6.030028316451021,-6.982945882223041
-6.102764505470386,-7.370401741150284
-6.212633544816708,-7.70958559118119
-6.294786902244318,-8.008761291566284
-6.352689311885995,-8.274750943104856
-6.388616540472882,-8.513174784092222
-6.438211481179668,-8.72865092410833
-6.479858680737182,-8.924964652359414
-6.514327577003143,-9.105212275461291
-6.525290208952917,-9.271922756170362
-6.542017528750695,-9.427159865909708
-6.554796858734332,-9.572607351282578
-6.56214701777109,-9.713009011447603
-6.568218817367335,-9.870590431025029
