t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
1.897455906867980957e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.175420474328469911e-01,6.734663233228665113e+00,8.123325705528259277e-01,-2.824664115905761719e-03
1.897946953773498535e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.175420474328469911e-01,6.734663233228665113e+00,8.123439550399780273e-01,-2.813279628753662109e-03
1.898424124717712402e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.176569420797164700e-01,6.741246211582932801e+00,8.123439550399780273e-01,-2.813279628753662109e-03
1.898936533927917480e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.176569420797164700e-01,6.741246211582932801e+00,8.123234510421752930e-01,-2.833783626556396484e-03
1.899445438385009766e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.176569420797164700e-01,6.741246211582932801e+00,8.123234510421752930e-01,-2.833783626556396484e-03
1.899939775466918945e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.176569420797164700e-01,6.741246211582932801e+00,8.123033642768859863e-01,-2.853870391845703125e-03
1.900448203086853027e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.177488577972120587e-01,6.746512594266346419e+00,8.123033642768859863e-01,-2.853870391845703125e-03
1.900925421714782715e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.177488577972120587e-01,6.746512594266346419e+00,8.123373389244079590e-01,-2.819895744323730469e-03
1.901424884796142578e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.177488577972120587e-01,6.746512594266346419e+00,8.123373389244079590e-01,-2.819895744323730469e-03
1.901940464973449707e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.177488577972120587e-01,6.746512594266346419e+00,8.123373389244079590e-01,-2.819895744323730469e-03
1.902427458763122559e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.178223903712085352e-01,6.750725700413077845e+00,8.123090863227844238e-01,-2.848148345947265625e-03
1.902967500686645508e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.178223903712085352e-01,6.750725700413077845e+00,8.123114705085754395e-01,-2.845764160156250000e-03
1.903422808647155762e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.178223903712085352e-01,6.750725700413077845e+00,8.123114705085754395e-01,-2.845764160156250000e-03
1.903929376602172852e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.178223903712085352e-01,6.750725700413077845e+00,8.123245239257812500e-01,-2.832710742950439453e-03
1.904431223869323730e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.178812164304057220e-01,6.754096185330463520e+00,8.123245239257812500e-01,-2.832710742950439453e-03
1.904925179481506348e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.178812164304057220e-01,6.754096185330463520e+00,8.123245239257812500e-01,-2.832710742950439453e-03
1.905434870719909668e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.178812164304057220e-01,6.754096185330463520e+00,8.123121261596679688e-01,-2.845108509063720703e-03
1.905948758125305176e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.178812164304057220e-01,6.754096185330463520e+00,8.123121261596679688e-01,-2.845108509063720703e-03
1.906451749801635742e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179282772777634491e-01,6.756792573264370994e+00,8.123194575309753418e-01,-2.837777137756347656e-03
1.906950759887695312e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179282772777634491e-01,6.756792573264370994e+00,8.123137950897216797e-01,-2.843439579010009766e-03
1.907446551322937012e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179282772777634491e-01,6.756792573264370994e+00,8.123137950897216797e-01,-2.843439579010009766e-03
1.907937645912170410e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179282772777634491e-01,6.756792573264370994e+00,8.123256564140319824e-01,-2.831578254699707031e-03
1.908433198928833008e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179659259556496420e-01,6.758949683611496617e+00,8.123256564140319824e-01,-2.831578254699707031e-03
1.908950829505920410e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179659259556496420e-01,6.758949683611496617e+00,8.123256564140319824e-01,-2.831578254699707031e-03
1.909435415267944336e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179659259556496420e-01,6.758949683611496617e+00,8.123462796211242676e-01,-2.810955047607421875e-03
1.909943270683288574e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179659259556496420e-01,6.758949683611496617e+00,8.123247623443603516e-01,-2.832472324371337891e-03
1.910454106330871582e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179960448979585907e-01,6.760675371889197649e+00,8.123247623443603516e-01,-2.832472324371337891e-03
1.910955333709716797e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179960448979585907e-01,6.760675371889197649e+00,8.123518824577331543e-01,-2.805352210998535156e-03
1.911442089080810547e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179960448979585907e-01,6.760675371889197649e+00,8.123518824577331543e-01,-2.805352210998535156e-03
1.911928987503051758e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179960448979585907e-01,6.760675371889197649e+00,8.123050928115844727e-01,-2.852141857147216797e-03
1.912446594238281250e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179960448979585907e-01,6.760675371889197649e+00,8.123050928115844727e-01,-2.852141857147216797e-03
1.912922739982604980e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179960448979585907e-01,6.760675371889197649e+00,8.123403787612915039e-01,-2.816855907440185547e-03
1.913429832458496094e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179960448979585907e-01,6.760675371889197649e+00,8.123403787612915039e-01,-2.816855907440185547e-03
1.913928437232971191e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179960448979585907e-01,6.760675371889197649e+00,8.123108148574829102e-01,-2.846419811248779297e-03
1.914441847801208496e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180201400518057497e-01,6.762055922511358119e+00,8.123108148574829102e-01,-2.846419811248779297e-03
1.914927601814270020e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180201400518057497e-01,6.762055922511358119e+00,8.123247623443603516e-01,-2.832472324371337891e-03
1.915444850921630859e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180201400518057497e-01,6.762055922511358119e+00,8.123247623443603516e-01,-2.832472324371337891e-03
1.915929603576660156e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180201400518057497e-01,6.762055922511358119e+00,8.123247623443603516e-01,-2.832472324371337891e-03
1.916433358192443848e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180394161748834769e-01,6.763160363009086851e+00,8.122999668121337891e-01,-2.857267856597900391e-03
1.916934752464294434e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180394161748834769e-01,6.763160363009086851e+00,8.122901320457458496e-01,-2.867102622985839844e-03
1.917441439628601074e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180394161748834769e-01,6.763160363009086851e+00,8.122901320457458496e-01,-2.867102622985839844e-03
1.917923235893249512e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180394161748834769e-01,6.763160363009086851e+00,8.122823834419250488e-01,-2.874851226806640625e-03
1.918445897102355957e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180548370733456587e-01,6.764043915407270013e+00,8.122823834419250488e-01,-2.874851226806640625e-03
1.918942499160766602e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180548370733456587e-01,6.764043915407270013e+00,8.122969865798950195e-01,-2.860248088836669922e-03
1.919441652297973633e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180548370733456587e-01,6.764043915407270013e+00,8.122969865798950195e-01,-2.860248088836669922e-03
1.919953989982604980e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180671737921153985e-01,6.764750757325815655e+00,8.123026490211486816e-01,-2.854585647583007812e-03
1.920439291000366211e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180671737921153985e-01,6.764750757325815655e+00,8.123026490211486816e-01,-2.854585647583007812e-03
1.920951223373413086e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180671737921153985e-01,6.764750757325815655e+00,8.122906088829040527e-01,-2.866625785827636719e-03
1.921447730064392090e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180671737921153985e-01,6.764750757325815655e+00,8.122906088829040527e-01,-2.866625785827636719e-03
1.921938419342041016e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180671737921153985e-01,6.764750757325815655e+00,8.123276829719543457e-01,-2.829551696777343750e-03
1.922452425956726074e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180770431671311904e-01,6.765316230860652702e+00,8.123276829719543457e-01,-2.829551696777343750e-03
1.922934436798095703e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180770431671311904e-01,6.765316230860652702e+00,8.123276829719543457e-01,-2.829551696777343750e-03
1.923429918289184570e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180770431671311904e-01,6.765316230860652702e+00,8.123034238815307617e-01,-2.853810787200927734e-03
1.923930382728576660e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180770431671311904e-01,6.765316230860652702e+00,8.122954368591308594e-01,-2.861797809600830078e-03
1.924437880516052246e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180849386671438406e-01,6.765768609688522339e+00,8.122954368591308594e-01,-2.861797809600830078e-03
1.924930453300476074e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180849386671438406e-01,6.765768609688522339e+00,8.122867941856384277e-01,-2.870440483093261719e-03
1.925422143936157227e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180849386671438406e-01,6.765768609688522339e+00,8.122867941856384277e-01,-2.870440483093261719e-03
1.925924348831176758e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180849386671438406e-01,6.765768609688522339e+00,8.122867941856384277e-01,-2.870440483093261719e-03
1.926425218582153320e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180912550671539551e-01,6.766130512750818227e+00,8.122867941856384277e-01,-2.870440483093261719e-03
1.926950407028198242e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180912550671539551e-01,6.766130512750818227e+00,8.122926354408264160e-01,-2.864599227905273438e-03
1.927441120147705078e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180912550671539551e-01,6.766130512750818227e+00,8.122926354408264160e-01,-2.864599227905273438e-03
1.927941203117370605e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180912550671539551e-01,6.766130512750818227e+00,8.122926354408264160e-01,-2.864599227905273438e-03
1.928441572189331055e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180963081871620468e-01,6.766420035200655825e+00,8.122805953025817871e-01,-2.876639366149902344e-03
1.928943490982055664e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180963081871620468e-01,6.766420035200655825e+00,8.122805953025817871e-01,-2.876639366149902344e-03
1.929442811012268066e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180963081871620468e-01,6.766420035200655825e+00,8.123068809509277344e-01,-2.850353717803955078e-03
1.929929566383361816e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.180963081871620468e-01,6.766420035200655825e+00,8.123068809509277344e-01,-2.850353717803955078e-03
1.930434632301330566e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181003506831685146e-01,6.766651653160524305e+00,8.122984170913696289e-01,-2.858817577362060547e-03
1.930933690071105957e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181003506831685146e-01,6.766651653160524305e+00,8.122569322586059570e-01,-2.900302410125732422e-03
1.931439900398254395e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181003506831685146e-01,6.766651653160524305e+00,8.122569322586059570e-01,-2.900302410125732422e-03
1.931925153732299805e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181003506831685146e-01,6.766651653160524305e+00,8.122815489768981934e-01,-2.875685691833496094e-03
1.932447648048400879e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181035846799736999e-01,6.766836947528420687e+00,8.122815489768981934e-01,-2.875685691833496094e-03
1.932930064201354980e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181035846799736999e-01,6.766836947528420687e+00,8.122815489768981934e-01,-2.875685691833496094e-03
