t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
9.955294370651245117e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,9.187777781783043607e-02,5.264208900002378400e+00,8.134117722511291504e-01,-1.672446727752685547e-03
9.960374832153320312e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,9.187777781783043607e-02,5.264208900002378400e+00,8.134117722511291504e-01,-1.672446727752685547e-03
9.965536832809448242e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,9.651193407254897438e-02,5.529726495001903608e+00,8.132809996604919434e-01,-1.803219318389892578e-03
9.970634222030639648e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,9.651193407254897438e-02,5.529726495001903608e+00,8.132809996604919434e-01,-1.803219318389892578e-03
9.975486278533935547e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,9.651193407254897438e-02,5.529726495001903608e+00,8.131581544876098633e-01,-1.926064491271972656e-03
9.980371475219726562e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,9.651193407254897438e-02,5.529726495001903608e+00,8.131581544876098633e-01,-1.926064491271972656e-03
9.985266685485839844e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.011396475490551894e-01,5.794874946001523419e+00,8.130376338958740234e-01,-2.046585083007812500e-03
9.990390300750732422e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.011396475490551894e-01,5.794874946001523419e+00,8.130376338958740234e-01,-2.046585083007812500e-03
9.995250225067138672e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.011396475490551894e-01,5.794874946001523419e+00,8.129841089248657227e-01,-2.100110054016113281e-03
1.000051832199096680e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.011396475490551894e-01,5.794874946001523419e+00,8.129841089248657227e-01,-2.100110054016113281e-03
1.000544404983520508e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.051486144878372858e-01,6.024571831801218913e+00,8.128261566162109375e-01,-2.258062362670898438e-03
1.001036739349365234e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.051486144878372858e-01,6.024571831801218913e+00,8.128261566162109375e-01,-2.258062362670898438e-03
1.001544475555419922e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.051486144878372858e-01,6.024571831801218913e+00,8.128682374954223633e-01,-2.215981483459472656e-03
1.002035212516784668e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.051486144878372858e-01,6.024571831801218913e+00,8.128682374954223633e-01,-2.215981483459472656e-03
1.002520465850830078e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.083557880388629630e-01,6.208329340440974953e+00,8.128654360771179199e-01,-2.218782901763916016e-03
1.003025889396667480e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.083557880388629630e-01,6.208329340440974953e+00,8.128654360771179199e-01,-2.218782901763916016e-03
1.003558468818664551e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.083557880388629630e-01,6.208329340440974953e+00,8.128650784492492676e-01,-2.219140529632568359e-03
1.004037070274353027e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.083557880388629630e-01,6.208329340440974953e+00,8.128650784492492676e-01,-2.219140529632568359e-03
1.004534935951232910e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.112283230372606291e-01,6.372913472352780495e+00,8.128519058227539062e-01,-2.232313156127929688e-03
1.005032944679260254e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.112283230372606291e-01,6.372913472352780495e+00,8.128519058227539062e-01,-2.232313156127929688e-03
1.005524349212646484e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.112283230372606291e-01,6.372913472352780495e+00,8.128829002380371094e-01,-2.201318740844726562e-03
1.006029272079467773e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.112283230372606291e-01,6.372913472352780495e+00,8.128829002380371094e-01,-2.201318740844726562e-03
1.006524419784545898e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.132195548784016431e-01,6.487002652882224218e+00,8.128901124000549316e-01,-2.194106578826904297e-03
1.007022500038146973e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.132195548784016431e-01,6.487002652882224218e+00,8.128901124000549316e-01,-2.194106578826904297e-03
1.007530164718627930e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.132195548784016431e-01,6.487002652882224218e+00,8.129023909568786621e-01,-2.181828022003173828e-03
1.008033084869384766e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.132195548784016431e-01,6.487002652882224218e+00,8.129023909568786621e-01,-2.181828022003173828e-03
1.008519577980041504e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.132195548784016431e-01,6.487002652882224218e+00,8.129336833953857422e-01,-2.150535583496093750e-03
1.009043002128601074e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.132195548784016431e-01,6.487002652882224218e+00,8.129336833953857422e-01,-2.150535583496093750e-03
1.009527969360351562e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.132195548784016431e-01,6.487002652882224218e+00,8.128170371055603027e-01,-2.267181873321533203e-03
1.010041379928588867e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.132195548784016431e-01,6.487002652882224218e+00,8.128170371055603027e-01,-2.267181873321533203e-03
1.010520458221435547e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.148125403513144543e-01,6.578273997305780441e+00,8.128932714462280273e-01,-2.190947532653808594e-03
1.011019802093505859e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.148125403513144543e-01,6.578273997305780441e+00,8.128932714462280273e-01,-2.190947532653808594e-03
1.011574530601501465e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.148125403513144543e-01,6.578273997305780441e+00,8.128661513328552246e-01,-2.218067646026611328e-03
1.012026524543762207e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.148125403513144543e-01,6.578273997305780441e+00,8.128661513328552246e-01,-2.218067646026611328e-03
1.012567782402038574e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.160869287296446978e-01,6.651291072844624175e+00,8.128574490547180176e-01,-2.226769924163818359e-03
1.013045859336853027e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.160869287296446978e-01,6.651291072844624175e+00,8.128574490547180176e-01,-2.226769924163818359e-03
1.013553810119628906e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.160869287296446978e-01,6.651291072844624175e+00,8.128481507301330566e-01,-2.236068248748779297e-03
