t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
2.980827331542968750e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.425710445842086921e-02,2.535745298937134962e+00,8.140438795089721680e-01,-3.113865852355957031e-03
2.985603094100952148e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.425710445842086921e-02,2.535745298937134962e+00,8.140762448310852051e-01,-3.081500530242919922e-03
2.990697860717773438e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.425710445842086921e-02,2.535745298937134962e+00,8.140762448310852051e-01,-3.081500530242919922e-03
2.995649576187133789e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.425710445842086921e-02,2.535745298937134962e+00,8.140762448310852051e-01,-3.081500530242919922e-03
3.000722885131835938e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.399597597889629008e-02,2.520783739149707881e+00,8.140781521797180176e-01,-3.079593181610107422e-03
3.005840778350830078e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.399597597889629008e-02,2.520783739149707881e+00,8.140781521797180176e-01,-3.079593181610107422e-03
3.010689020156860352e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.399597597889629008e-02,2.520783739149707881e+00,8.140853643417358398e-01,-3.072381019592285156e-03
3.015709400177001953e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.399597597889629008e-02,2.520783739149707881e+00,8.141010403633117676e-01,-3.056704998016357422e-03
3.020736932754516602e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.409386935285375397e-02,2.526392616319766748e+00,8.141010403633117676e-01,-3.056704998016357422e-03
3.025656461715698242e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.409386935285375397e-02,2.526392616319766748e+00,8.141010403633117676e-01,-3.056704998016357422e-03
3.030731916427612305e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.409386935285375397e-02,2.526392616319766748e+00,8.140869736671447754e-01,-3.070771694183349609e-03
3.035679340362548828e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.409386935285375397e-02,2.526392616319766748e+00,8.140869736671447754e-01,-3.070771694183349609e-03
3.041031599044799805e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.409386935285375397e-02,2.526392616319766748e+00,8.141248226165771484e-01,-3.032922744750976562e-03
3.045739650726318359e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.409386935285375397e-02,2.526392616319766748e+00,8.141114115715026855e-01,-3.046333789825439453e-03
3.051029682159423828e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.409386935285375397e-02,2.526392616319766748e+00,8.141114115715026855e-01,-3.046333789825439453e-03
3.055691957473754883e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.409386935285375397e-02,2.526392616319766748e+00,8.141114115715026855e-01,-3.046333789825439453e-03
3.060782909393310547e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.386538789444259512e-02,2.513301593055813576e+00,8.141030669212341309e-01,-3.054678440093994141e-03
3.065653800964355469e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.386538789444259512e-02,2.513301593055813576e+00,8.141030669212341309e-01,-3.054678440093994141e-03
3.071009635925292969e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.386538789444259512e-02,2.513301593055813576e+00,8.140888810157775879e-01,-3.068864345550537109e-03
3.075730323791503906e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.386538789444259512e-02,2.513301593055813576e+00,8.140646815299987793e-01,-3.093063831329345703e-03
3.081010103225708008e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.398939888529079800e-02,2.520406899444650684e+00,8.140646815299987793e-01,-3.093063831329345703e-03
3.085767984390258789e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,4.398939888529079800e-02,2.520406899444650684e+00,8.140667676925659180e-01,-3.090977668762207031e-03
