MPA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
250mm,step_minus,,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
,fix p1 0,angle,0,0,0,-0.0828,-0.1841,-0.2422,-0.3059,-0.3359,-0.362,-0.3835,-0.4034,-0.4172,-0.431,-0.4403,-0.4479
,fix p1 0.05,,0,0,0,-0.0798,-0.1887,-0.2362,-0.2915,-0.3267,-0.3513,-0.3712,-0.3881,-0.4019,-0.4142,-0.4249,-0.4326
,fix p1 0.1,,0,0,0,-0.0647,-0.158,-0.2056,-0.2441,-0.2884,-0.3145,-0.3375,-0.3574,-0.3774,-0.3912,-0.4019,-0.4126
,fix p1 0.15,,0.0937,0.0937,0.0946,0.043,-0.0337,-0.0951,-0.1442,-0.1887,-0.2209,-0.2485,-0.2777,-0.2976,-0.3145,-0.3298,-0.3421
,fix p1 0.2,,0.2359,0.2359,0.2117,0.1411,0.0614,-0.0079,-0.0689,-0.1198,-0.1626,-0.1946,-0.2224,-0.2459,-0.2715,-0.2884,-0.3007
,fix p1 0.25,,0.3114,0.3114,0.2899,0.2224,0.1457,0.0755,0.0114,-0.0453,-0.0936,-0.1365,-0.1687,-0.1979,-0.2224,-0.2424,-0.2546
,fix p1 0.3,,0.3682,0.3682,0.3497,0.2838,0.2086,0.14,0.0767,0.0214,-0.0305,-0.0752,-0.115,-0.1457,-0.1727,-0.1959,-0.204
,fix p1 0.35,,0.4096,0.4096,0.3927,0.3298,0.2592,0.1902,0.1277,0.0721,0.023,-0.0229,-0.0629,-0.0951,-0.1228,-0.1488,-0.1565
,fix p1 0.4,,0.4464,0.4462,0.4249,0.3682,0.3007,0.2316,0.1687,0.1141,0.0622,0.0169,-0.0261,-0.066,-0.0982,-0.1219,-0.1484
,fix p1 0.45,,0.4801,0.4801,0.4602,0.4034,0.339,0.2761,0.2163,0.1605,0.1089,0.0629,0.0219,-0.0169,-0.0509,-0.0813,-0.1052
,fix p1 0.5,,0.4832,0.4832,0.4633,0.4111,0.3497,0.287,0.2301,0.1749,0.1244,0.0798,0.0398,0.0031,-0.0307,-0.0598,-0.0844
,fix p1 0.55,,0.5185,0.5185,0.4986,0.451,0.3958,0.3363,0.2837,0.224,0.1764,0.1285,0.0895,0.0508,0.018,-0.0123,-0.0396
,fix p1 0.6,,0.5046,0.5046,0.489,0.4449,0.3912,0.3359,0.2807,0.227,0.1806,0.1334,0.0911,0.0537,0.0199,-0.0092,-0.0353
,fix p1 0.65,,0.5231,0.5231,0.5109,0.4694,0.4218,0.3693,0.361,0.2654,0.2163,0.1721,0.1289,0.0926,0.0593,0.0291,0.0061
,fix p1 0.7,,0.5369,0.5369,0.5262,0.4862,0.4387,0.3893,0.3405,0.2903,0.2408,0.1994,0.158,0.1181,0.089,0.0583,0.0399
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,step_plus,,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
,fix p2 0,,0,0,0.0004,0.0782,0.2226,0.2961,0.3405,0.3804,0.4111,0.4387,0.4587,0.476,0.4895,0.5001,0.5001
,fix p2 0.05,,0,0,0,0.0813,0.2298,0.3002,0.3485,0.3881,0.4193,0.4464,0.4679,0.4847,0.4991,0.5093,0.5185
,fix p2 0.1,,0,0,0,0.0819,0.205,0.2669,0.3148,0.3513,0.3826,0.408,0.4264,0.4432,0.4587,0.4709,0.4817
,fix p2 0.15,,-0.0015,-0.0015,-0.0021,0.0261,0.1132,0.1626,0.2227,0.2608,0.2976,0.3252,0.3494,0.3716,0.3897,0.405,0.4172
,fix p2 0.2,,-0.1565,-0.1565,-0.1565,-0.0915,-0.0215,0.0399,0.0874,0.1365,0.1806,0.2132,0.2409,0.2684,0.293,0.3095,0.3255
,fix p2 0.25,,-0.25,-0.25,-0.2378,-0.1749,-0.1089,-0.0491,0.0031,0.0399,0.0917,0.1289,0.1641,0.1917,0.2195,0.2412,0.2582
,fix p2 0.3,,-0.3044,-0.3044,-0.2915,-0.2378,-0.1779,-0.1197,-0.0736,-0.0264,0.0098,0.0506,0.0828,0.1151,0.1427,0.1703,0.1914
,fix p2 0.35,,-0.336,-0.336,-0.3193,-0.2703,-0.2178,-0.1672,-0.1197,-0.0767,-0.0337,-0.0031,0.0337,0.0626,0.0962,0.1181,0.1411
,fix p2 0.4,,-0.3559,-0.3559,-0.3406,-0.3011,-0.257,-0.2117,-0.1687,-0.1276,-0.0966,-0.0598,-0.0291,0,0.0261,0.0506,0.0736
,fix p2 0.45,,-0.3927,-0.3927,-0.3804,-0.3436,-0.3047,-0.2612,-0.2217,-0.1841,-0.1493,-0.1177,-0.0874,-0.0598,-0.0337,-0.0108,0.0138
