MPA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
260mm,step_minus,,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
,fix p1 0,angle,0,0,0,-0.0399,-0.1503,-0.1965,-0.2332,-0.2577,-0.2777,-0.3022,-0.3176,-0.3329,-0.3451,-0.3543,-0.3636
,fix p1 0.05,,0,0,0,-0.0322,-0.1563,-0.2071,-0.247,-0.2715,-0.2945,-0.3145,-0.3283,-0.3405,-0.3528,-0.3605,-0.3682
,fix p1 0.1,,0.0031,0.0031,0.0031,-0.0138,-0.1457,-0.1918,-0.2307,-0.2577,-0.2792,-0.3053,-0.3222,-0.3344,-0.3451,-0.3543,-0.362
,fix p1 0.15,,0.0736,0.0736,0.0736,0.0339,-0.0522,-0.1058,-0.1549,-0.1887,-0.2149,-0.242,-0.2607,-0.275,-0.2945,-0.3056,-0.3166
,fix p1 0.2,,0.1426,0.1426,0.1427,0.1089,0.0353,-0.0272,-0.0828,-0.1242,-0.158,-0.1871,-0.2108,-0.2316,-0.253,-0.2669,-0.2792
,fix p1 0.25,,0.2301,0.2301,0.2301,0.1861,0.1166,0.0525,0.0031,-0.0435,-0.0859,-0.1135,-0.1457,-0.1733,-0.1948,-0.2148,-0.227
,fix p1 0.3,,0.273,0.273,0.273,0.2316,0.1595,0.0982,0.0502,-0.0015,-0.043,-0.0798,-0.1089,-0.1381,-0.1595,-0.181,-0.1979
,fix p1 0.35,,0.3145,0.3145,0.3129,0.2746,0.2086,0.1504,0.0982,0.0552,0.0092,-0.0291,-0.0644,-0.0966,-0.1181,-0.1427,-0.1611
,fix p1 0.4,,0.359,0.359,0.3587,0.3236,0.2654,0.2071,0.1519,0.1058,0.0644,0.0258,-0.0083,-0.0399,-0.0662,-0.0914,-0.1116
,fix p1 0.45,,0.3804,0.3804,0.3777,0.3478,0.2903,0.236,0.1861,0.1365,0.0966,0.0587,0.0246,-0.0061,-0.0337,-0.0598,-0.0803
,fix p1 0.5,,0.4065,0.4065,0.405,0.3773,0.3252,0.273,0.2224,0.1764,0.1354,0.096,0.0629,0.0322,0.0032,-0.0199,-0.0383
,fix p1 0.55,,0.4124,0.4124,0.4111,0.3866,0.339,0.2899,0.2455,0.1979,0.1568,0.1199,0.0844,0.0568,0.0245,0,-0.0123
,fix p1 0.6,,0.4234,0.4234,0.4218,0.4032,0.3574,0.3145,0.267,0.2209,0.1841,0.1442,0.112,0.0782,0.0537,0.0261,0.0215
,fix p1 0.65,,0.4111,0.4111,0.4096,0.3941,0.3497,0.3082,0.2623,0.2224,0.1825,0.1476,0.11,0.0752,0.053,0.0261,0.0261
,fix p1 0.7,,0.4357,0.4357,0.4357,0.419,0.3758,0.3344,0.2897,0.2485,0.2114,0.1764,0.1411,0.1059,0.0828,0.0614,0.0614
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,step_plus,,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
,fix p2 0,,0,0,0.0032,0.062,0.1565,0.2347,0.2807,0.3237,0.3497,0.373,0.3942,0.4203,0.4341,0.4449,0.454
,fix p2 0.05,,0,0,0.0107,0.0706,0.1607,0.2321,0.2823,0.3237,0.3493,0.3728,0.3927,0.4203,0.431,0.4418,0.451
,fix p2 0.1,,0,0,0,0.0537,0.158,0.227,0.2684,0.3083,0.3359,0.362,0.3821,0.4029,0.4193,0.4332,0.4427
,fix p2 0.15,,-0.0046,-0.0046,-0.0046,0.0142,0.0966,0.1503,0.1871,0.2264,0.2546,0.2807,0.3129,0.3285,0.3451,0.3605,0.3728
