MPA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
255mm,step_minus,,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
,fix p1 0,angle,0,0,0,-0.0399,-0.1768,-0.2347,-0.2826,-0.3252,-0.3512,-0.3743,-0.3912,-0.4096,-0.4207,-0.431,-0.4387
,fix p1 0.05,,0,0,0,-0.0337,-0.1626,-0.2209,-0.2623,-0.3037,-0.3313,-0.3497,-0.3712,-0.385,-0.3974,-0.4096,-0.4188
,fix p1 0.1,,0,0,0,-0.0261,-0.1396,-0.1887,-0.2355,-0.2684,-0.2991,-0.3206,-0.3405,-0.3559,-0.3682,-0.3804,-0.3912
,fix p1 0.15,,0.0522,0.0522,0.0522,0.0341,-0.0442,-0.1062,-0.158,-0.2025,-0.2331,-0.2608,-0.2885,-0.3068,-0.3221,-0.3392,-0.3513
,fix p1 0.2,,0.1979,0.1979,0.1976,0.1519,0.0767,0.0122,-0.0445,-0.092,-0.135,-0.1657,-0.1917,-0.2178,-0.2378,-0.2531,-0.2657
,fix p1 0.25,,0.2623,0.2623,0.2562,0.2127,0.1473,0.0871,0.029,-0.0215,-0.0688,-0.1071,-0.1365,-0.1657,-0.1887,-0.2086,-0.2194
,fix p1 0.3,,0.3221,0.3221,0.3145,0.2669,0.201,0.1442,0.089,0.0408,-0.0061,-0.046,-0.0874,-0.1181,-0.1442,-0.1641,-0.1748
,fix p1 0.35,,0.3451,0.3451,0.3344,0.2885,0.2332,0.1672,0.1148,0.0652,0.0191,-0.0195,-0.0599,-0.092,-0.1227,-0.1495,-0.1548
,fix p1 0.4,,0.382,0.382,0.3712,0.3344,0.2747,0.2194,0.1611,0.1166,0.0736,0.0322,-0.0046,-0.0399,-0.0677,-0.0953,-0.0959
,fix p1 0.45,,0.4096,0.4096,0.4004,0.3638,0.3106,0.2562,0.204,0.1519,0.112,0.0736,0.0368,0.0031,-0.0276,-0.0506,-0.0506
,fix p1 0.5,,0.4172,0.4172,0.4096,0.3774,0.3264,0.2764,0.2224,0.1733,0.1273,0.0859,0.0504,0.0199,-0.0135,-0.0413,-0.0655
,fix p1 0.55,,0.4617,0.4617,0.4522,0.4172,0.3707,0.3206,0.2715,0.2175,0.1733,0.1289,0.0909,0.0598,0.0322,0.0015,-0.023
,fix p1 0.6,,0.448,0.448,0.4387,0.4065,0.3636,0.3145,0.2654,0.2162,0.1703,0.1304,0.0905,0.0565,0.0288,0,-0.0245
,fix p1 0.65,,0.4617,0.4617,0.4541,0.428,0.3821,0.3359,0.2884,0.2437,0.1967,0.158,0.1197,0.0835,0.0538,0.0247,0.0028
,fix p1 0.7,,0.4832,0.4832,0.4786,0.4512,0.4111,0.3636,0.3206,0.273,0.2287,0.1902,0.1529,0.1153,0.0844,0.0553,0.0322
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,step_plus,,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
,fix p2 0,,0,0,0,0.0614,0.1779,0.247,0.2929,0.3332,0.3605,0.385,0.4142,0.431,0.4454,0.4571,0.4709
,fix p2 0.05,,0,0,0,0.0558,0.1841,0.2531,0.2976,0.3359,0.3636,0.3912,0.4139,0.4295,0.4431,0.453,0.4648
,fix p2 0.1,,0,0,0,0.0583,0.1779,0.2424,0.2822,0.3136,0.3405,0.3623,0.3804,0.3988,0.4188,0.431,0.4418
,fix p2 0.15,,-0.0169,-0.0169,-0.0185,0.0092,0.0828,0.1319,0.1733,0.2086,0.2378,0.2654,0.2884,0.3083,0.3237,0.3359,0.3359
,fix p2 0.2,,-0.1243,-0.1243,-0.1243,-0.0736,-0.0123,0.0399,0.0833,0.1243,0.1595,0.1948,0.2224,0.2408,0.2562,0.2684,0.2684
,fix p2 0.25,,-0.1887,-0.1887,-0.1856,-0.133,-0.0706,-0.0245,0.0215,0.0629,0.1028,0.1316,0.1626,0.1902,0.2148,0.2286,0.2439
,fix p2 0.3,,-0.2516,-0.2516,-0.2424,-0.1937,-0.1396,-0.0889,-0.046,-0.0077,0.025,0.0614,0.089,0.1166,0.1427,0.1626,0.1795
,fix p2 0.35,,-0.3083,-0.3083,-0.2976,-0.25,-0.1994,-0.1585,-0.116,-0.0782,-0.0485,-0.0157,0.0133,0.0383,0.0659,0.0859,0.1079
,fix p2 0.4,,-0.3298,-0.3298,-0.3237,-0.273,-0.2362,-0.1933,-0.1534,-0.1181,-0.0874,-0.0606,-0.0307,-0.0061,0.02,0.0414,0.0598
,fix p2 0.45,,-0.3559,-0.3559,-0.3514,-0.3076,-0.2684,-0.2347,-0.1979,-0.1655,-0.132,-0.1074,-0.083,-0.0583,-0.0337,-0.0138,0.0084
