MPA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
255mm,step_minus,,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
,fix p1 0,angle,0,0,-0.0169,-0.1104,-0.2037,-0.2577,-0.3076,-0.348,-0.3743,-0.3973,-0.4128,-0.428,-0.4372,-0.4525,-0.4578
,fix p1 0.05,,0,0,-0.0353,-0.1289,-0.2072,-0.2562,-0.2976,-0.3371,-0.362,-0.382,-0.3988,-0.4142,-0.4264,-0.4372,-0.4509
,fix p1 0.1,,0,0.0375,0.0245,-0.0552,-0.1304,-0.1871,-0.2332,-0.2684,-0.3007,-0.3298,-0.3528,-0.3712,-0.385,-0.3973,-0.4069
,fix p1 0.15,,0.1411,0.1411,0.1212,0.0507,-0.0274,-0.0966,-0.1534,-0.1979,-0.2393,-0.2684,-0.2961,-0.3175,-0.3405,-0.3574,-0.3743
,fix p1 0.2,,0.2363,0.2363,0.2117,0.1435,0.0645,-0.0123,-0.0817,-0.1368,-0.1841,-0.2224,-0.2562,-0.2846,-0.3114,-0.3315,-0.3482
,fix p1 0.25,,0.3169,0.3169,0.2869,0.2255,0.1473,0.0721,0.0015,-0.0644,-0.1166,-0.1641,-0.1989,-0.2321,-0.2593,-0.2838,-0.3053
,fix p1 0.3,,0.3473,0.3473,0.3482,0.2913,0.2194,0.1457,0.0736,0.0088,-0.0494,-0.1008,-0.1427,-0.1764,-0.2086,-0.2363,-0.2608
,fix p1 0.35,,0.414,0.414,0.3912,0.34,0.2777,0.2071,0.1383,0.0717,0.0107,-0.0399,-0.0874,-0.1273,-0.1611,-0.1902,-0.218
,fix p1 0.4,,0.4495,0.4495,0.4307,0.3836,0.3353,0.2562,0.1902,0.1243,0.069,0.0153,-0.0337,-0.0752,-0.115,-0.1473,-0.1749
,fix p1 0.45,,0.474,0.474,0.4617,0.4172,0.3651,0.2991,0.2347,0.1703,0.1131,0.0614,0.0123,-0.0307,-0.0696,-0.1028,-0.135
,fix p1 0.5,,0.4938,0.4938,0.4847,0.4478,0.3973,0.3375,0.2746,0.215,0.1564,0.1054,0.0537,0.0096,-0.0296,-0.0644,-0.0874
