t[s],theta[rad],theta_ref[rad],error[rad],p1[MPa],p2[MPa],cost,comp_time[s]
0.0,0.026478409003307998,0.5235987755982988,0.4971203665949908,0.035,0.0005462038815690665,0.5235987755982988,0.13167238235473633
0.01,-0.005498761476199425,0.5235987755982988,0.5290975370744982,0.035,0.0005462038815690665,0.4971203665949908,0.09064793586730957
0.02,-0.0010532858105075996,0.5235987755982988,0.5246520614088064,0.035,0.0005462038815690665,0.5290975370744982,0.08622384071350098
0.03,0.0006556215296581042,0.5235987755982988,0.5229431540686407,0.035,0.0005462038815690665,0.5246520614088064,0.08891749382019043
0.04,0.028078931479244493,0.5235987755982988,0.4955198441190543,0.035,0.0005462038815690665,0.5229431540686407,0.08527946472167969
0.05,0.011008701584774058,0.5235987755982988,0.5125900740135247,0.035,0.0005462038815690665,0.4955198441190543,0.08912205696105957
0.060000000000000005,0.029099920894053347,0.5235987755982988,0.4944988547042455,0.035,0.0005462038815690665,0.5125900740135247,0.09046053886413574
0.07,-0.011020540722091354,0.5235987755982988,0.5346193163203902,0.035,0.0005462038815690665,0.4944988547042455,0.08212041854858398
0.08,0.019061297017944553,0.5235987755982988,0.5045374785803542,0.035,0.0005462038815690665,0.5346193163203902,0.08785009384155273
0.09,0.020938324799193275,0.5235987755982988,0.5026604507991055,0.035,0.0005462038815690665,0.5045374785803542,0.09045267105102539
0.09999999999999999,0.06687077403131125,0.5235987755982988,0.45672800156698756,0.07,0.0,0.5026604507991055,0.0708620548248291
0.10999999999999999,0.028485555615841734,0.5235987755982988,0.49511321998245705,0.10500000000000001,0.0,0.45672800156698756,0.08566784858703613
0.11999999999999998,-0.0049867520156748335,0.5235987755982988,0.5285855276139737,0.10500000000000001,0.0,0.49511321998245705,0.08135771751403809
0.12999999999999998,0.020988550313890908,0.5235987755982988,0.5026102252844079,0.10500000000000001,0.0,0.5285855276139737,0.08699750900268555
0.13999999999999999,0.09717437583338284,0.5235987755982988,0.426424399764916,0.10500000000000001,0.0,0.5026102252844079,0.08897876739501953
0.15,0.14501438919057552,0.5235987755982988,0.3785843864077233,0.10500000000000001,0.0,0.426424399764916,0.07984423637390137
0.16,-0.04659287225203847,0.5235987755982988,0.5701916478503373,0.10500000000000001,0.0,0.3785843864077233,0.07964491844177246
0.17,-0.061678598210547796,0.5235987755982988,0.5852773738088466,0.10500000000000001,0.0,0.5701916478503373,0.08378267288208008
0.18000000000000002,0.0310129405421571,0.5235987755982988,0.49258583505614173,0.10500000000000001,0.0,0.5852773738088466,0.08167910575866699
0.19000000000000003,0.1627620770141942,0.5235987755982988,0.3608366985841046,0.14,0.035,0.49258583505614173,0.06115221977233887
0.20000000000000004,0.06780377866899845,0.5235987755982988,0.45579499692930037,0.14,0.035,0.3608366985841046,0.08255529403686523
0.21000000000000005,0.050179378438841904,0.5235987755982988,0.4734193971594569,0.17500000000000002,0.0,0.45579499692930037,0.07385683059692383
0.22000000000000006,0.06487760699085024,0.5235987755982988,0.4587211686074486,0.17500000000000002,0.0,0.4734193971594569,0.08261394500732422
0.23000000000000007,0.1648236398491944,0.5235987755982988,0.3587751357491044,0.17500000000000002,0.0,0.4587211686074486,0.08051538467407227
0.24000000000000007,0.13520505435895225,0.5235987755982988,0.38839372123934657,0.21000000000000002,0.035,0.3587751357491044,0.06329822540283203
0.25000000000000006,0.1915405079479515,0.5235987755982988,0.3320582676503473,0.21000000000000002,0.035,0.38839372123934657,0.07563042640686035
0.26000000000000006,0.030060405910742827,0.5235987755982988,0.493538369687556,0.21000000000000002,0.035,0.3320582676503473,0.08038496971130371
0.2700000000000001,0.05956725662796007,0.5235987755982988,0.46403151897033873,0.21000000000000002,0.035,0.493538369687556,0.08279943466186523
0.2800000000000001,0.08852806872396986,0.5235987755982988,0.43507070687432897,0.21000000000000002,0.035,0.46403151897033873,0.08173346519470215
0.2900000000000001,0.11547396698639027,0.5235987755982988,0.40812480861190853,0.21000000000000002,0.035,0.43507070687432897,0.08760237693786621
0.3000000000000001,0.13684224987324226,0.5235987755982988,0.3867565257250566,0.21000000000000002,0.035,0.40812480861190853,0.07576513290405273
0.3100000000000001,0.12295103537968083,0.5235987755982988,0.400647740218618,0.21000000000000002,0.035,0.3867565257250566,0.07564020156860352
0.3200000000000001,0.19187455352352628,0.5235987755982988,0.33172422207477253,0.21000000000000002,0.035,0.400647740218618,0.07839536666870117
0.3300000000000001,0.31278280985830764,0.5235987755982988,0.21081596573999117,0.21000000000000002,0.035,0.33172422207477253,0.07998991012573242
0.34000000000000014,0.3355412815596116,0.5235987755982988,0.1880574940386872,0.24500000000000002,0.023602119123821447,0.21081596573999117,0.0465846061706543
0.35000000000000014,-0.09962072358483015,0.5235987755982988,0.623219499183129,0.24500000000000002,0.023602119123821447,0.1880574940386872,0.07855010032653809
