t[s],theta[rad],theta_ref[rad],error[rad],p1[MPa],p2[MPa],cost,comp_time[s]
0.0,0.026022823303937914,0.5235987755982988,0.4975759522943609,0.035,0.0,0.5235987755982988,0.00022029876708984375
0.01,0.020578005064029688,0.5235987755982988,0.5030207705342691,0.07,0.0,0.5235987755982988,0.0001437664031982422
0.02,0.019325752697171933,0.5235987755982988,0.5042730229011269,0.10500000000000001,0.0,0.4975759522943609,0.0001914501190185547
0.03,0.019582662809033757,0.5235987755982988,0.5040161127892651,0.14,0.0,0.5030207705342691,0.000133514404296875
0.04,0.04677965006356663,0.5235987755982988,0.47681912553473216,0.17500000000000002,0.0,0.5042730229011269,0.00013113021850585938
0.05,0.056825731287051706,0.5235987755982988,0.4667730443112471,0.21000000000000002,0.0,0.5040161127892651,0.00013685226440429688
0.060000000000000005,0.0845678632992603,0.5235987755982988,0.4390309122990385,0.24500000000000002,0.0,0.47681912553473216,0.00013065338134765625
0.07,0.07293912763805943,0.5235987755982988,0.4506596479602394,0.28,0.0,0.4667730443112471,0.00013184547424316406
0.08,0.09039039846851948,0.5235987755982988,0.43320837712977933,0.31500000000000006,0.0,0.4390309122990385,0.00013256072998046875
0.09,0.10959357549178728,0.5235987755982988,0.41400520010651154,0.3500000000000001,0.0,0.4506596479602394,0.00013136863708496094
0.09999999999999999,0.1486679774733225,0.5235987755982988,0.3749307981249763,0.3850000000000001,0.0,0.43320837712977933,0.00013208389282226562
0.10999999999999999,0.1548936421958359,0.5235987755982988,0.3687051334024629,0.42000000000000015,0.0,0.41400520010651154,0.00013017654418945312
0.11999999999999998,0.15448712389988284,0.5235987755982988,0.369111651698416,0.4550000000000002,0.0,0.3749307981249763,0.00013208389282226562
0.12999999999999998,0.1740786404163439,0.5235987755982988,0.3495201351819549,0.4900000000000002,0.0,0.3687051334024629,0.00012922286987304688
0.13999999999999999,0.24087637457305244,0.5235987755982988,0.2827224010252464,0.5250000000000002,0.0,0.369111651698416,0.00012993812561035156
0.15,0.3455625189936007,0.5235987755982988,0.17803625660469813,0.5600000000000003,0.0,0.3495201351819549,0.00012993812561035156
0.16,0.2596755502785497,0.5235987755982988,0.2639232253197491,0.5950000000000003,0.0,0.2827224010252464,0.0001285076141357422
0.17,0.1796418645553084,0.5235987755982988,0.3439569110429904,0.6300000000000003,0.0,0.17803625660469813,0.0001304149627685547
0.18000000000000002,0.20159759050110504,0.5235987755982988,0.3220011850971938,0.6650000000000004,0.0,0.2639232253197491,0.0001289844512939453
0.19000000000000003,0.2692061954196856,0.5235987755982988,0.2543925801786132,0.7,0.0,0.3439569110429904,0.00012874603271484375
0.20000000000000004,0.2687664828160118,0.5235987755982988,0.25483229278228703,0.7,0.0,0.3220011850971938,0.00013136863708496094
0.21000000000000005,0.28628192470596636,0.5235987755982988,0.23731685089233245,0.7,0.0,0.2543925801786132,0.00013017654418945312
0.22000000000000006,0.33343906404229195,0.5235987755982988,0.19015971155600686,0.7,0.0,0.25483229278228703,0.0001285076141357422
0.23000000000000007,0.4191547140909454,0.5235987755982988,0.10444406150735341,0.7,0.0,0.23731685089233245,0.00012946128845214844
0.24000000000000007,0.3570209005426389,0.5235987755982988,0.1665778750556599,0.7,0.0,0.19015971155600686,0.0001289844512939453
0.25000000000000006,0.32666676848847925,0.5235987755982988,0.19693200710981956,0.6649999999999999,0.035,0.10444406150735341,0.0001285076141357422
0.26000000000000006,0.34859043761632663,0.5235987755982988,0.17500833798197218,0.6299999999999999,0.07,0.1665778750556599,0.0001289844512939453
0.2700000000000001,0.5341121329343359,0.5235987755982988,-0.010513357336037088,0.5949999999999999,0.10500000000000001,0.19693200710981956,0.0001366138458251953
0.2800000000000001,0.539797765995045,0.5235987755982988,-0.016198990396746216,0.6165775197992298,0.07,0.17500833798197218,0.00013303756713867188
0.2900000000000001,0.4394964034832094,0.5235987755982988,0.08410237211508942,0.5881847895444059,0.05802773234671843,0.010513357336037088,0.00012755393981933594
0.3000000000000001,0.4282772628608069,0.5235987755982988,0.0953215127374919,0.5531847895444059,0.09302773234671843,0.016198990396746216,0.00012755393981933594
0.3100000000000001,0.5161557670700283,0.5235987755982988,0.007443008528270512,0.5181847895444058,0.12802773234671844,0.08410237211508942,0.0001270771026611328
0.3200000000000001,0.5222167465685297,0.5235987755982988,0.0013820290297691384,0.4831847895444058,0.16302773234671844,0.0953215127374919,0.00012755393981933594
0.3300000000000001,0.4805981339505816,0.5235987755982988,0.04300064164771722,0.44818478954440577,0.17815122891481305,0.007443008528270512,0.00012731552124023438
0.34000000000000014,0.4584064899374347,0.5235987755982988,0.0651922856608641,0.41318478954440574,0.21258339479475863,0.0013820290297691384,0.0001270771026611328
0.35000000000000014,0.478495741594156,0.5235987755982988,0.04510303400414284,0.3781847895444057,0.24758339479475863,0.04300064164771722,0.00012874603271484375
0.36000000000000015,0.5210597281264873,0.5235987755982988,0.0025390474718115508,0.3431847895444057,0.2559376401239448,0.0651922856608641,0.0001266002655029297
0.37000000000000016,0.5352233750988611,0.5235987755982988,-0.011624599500562272,0.30818478954440565,0.29093764012394485,0.04510303400414284,0.00012731552124023438
0.38000000000000017,0.5178589509501714,0.5235987755982988,0.00573982464812739,0.2731847895444056,0.3259376401239449,0.0025390474718115508,0.0001277923583984375
0.3900000000000002,0.6189158478986787,0.5235987755982988,-0.09531707230037989,0.2381847895444056,0.3609376401239449,0.011624599500562272,0.0001266002655029297
0.4000000000000002,0.6651096204745861,0.5235987755982988,-0.1415108448762873,0.2031847895444056,0.39593764012394495,0.00573982464812739,0.00012755393981933594
0.4100000000000002,0.6381374017951125,0.5235987755982988,-0.11453862619681365,0.23349886381192242,0.3609376401239449,0.09531707230037989,0.00012993812561035156
0.4200000000000002,0.5198838829322974,0.5235987755982988,0.003714892666001446,0.26849886381192245,0.3259376401239449,0.1415108448762873,0.00012683868408203125
0.4300000000000002,0.5695419196185332,0.5235987755982988,-0.04594314402023436,0.23349886381192245,0.3609376401239449,0.11453862619681365,0.00012993812561035156
0.4400000000000002,0.49056088035901,0.5235987755982988,0.033037895239288795,0.19849886381192244,0.39593764012394495,0.003714892666001446,0.0001277923583984375
0.45000000000000023,0.7859776645162548,0.5235987755982988,-0.262378888917956,0.16349886381192244,0.430937640123945,0.04594314402023436,0.00012683868408203125
0.46000000000000024,0.7282701797361615,0.5235987755982988,-0.20467140413786267,0.12849886381192244,0.45655582388817306,0.033037895239288795,0.00012922286987304688
0.47000000000000025,0.6053845060096408,0.5235987755982988,-0.08178573041134196,0.15951468913986266,0.42155582388817303,0.262378888917956,0.0001285076141357422
0.48000000000000026,0.40935198528004024,0.5235987755982988,0.11424679031825857,0.12451468913986266,0.45655582388817306,0.20467140413786267,0.0001277923583984375
0.49000000000000027,0.5510672832506487,0.5235987755982988,-0.02746850765234987,0.08951468913986266,0.47609723145777916,0.08178573041134196,0.0001266002655029297
0.5000000000000002,0.5360259532793625,0.5235987755982988,-0.012427177681063717,0.058535179838845375,0.4818669139467715,0.11424679031825857,0.001058816909790039
0.5100000000000002,0.5399230197660725,0.5235987755982988,-0.01632424416777367,0.02353517983884537,0.5168669139467715,0.02746850765234987,0.0012326240539550781
0.5200000000000002,0.5011276305013714,0.5235987755982988,0.02247114509692738,0.0,0.5518669139467716,0.012427177681063717,0.0012230873107910156
0.5300000000000002,0.6714078672707998,0.5235987755982988,-0.147809091672501,0.035,0.5168669139467715,0.01632424416777367,0.0013103485107421875
0.5400000000000003,0.5825814363405662,0.5235987755982988,-0.058982660742267434,0.07,0.4818669139467715,0.02247114509692738,0.0012378692626953125
